idx,mu0,mu1,fom_time_s,rom_time_s,podnn_time_s,rom_rel_l2_u,podnn_rel_l2_u,rom_rel_l2_p,podnn_rel_l2_p,rom_rel_h1_u,podnn_rel_h1_u
0,7.762164880704037,1.8777568795041046,0.716486930847168,0.02739405632019043,0.0014271736145019531,0.021888573447629664,0.13835875530151875,0.0037890617258136833,0.02474390215973842,0.035877097409435274,0.15650004607473864
1,8.600119407122687,2.3947360581187276,0.6613078117370605,0.027162790298461914,0.0003819465637207031,0.04855823276482927,0.350701023962996,0.0024384373945740894,0.017184153390154226,0.056648524627098504,0.34433362972369214
2,1.0323557440877305,2.951244703273512,0.6142818927764893,0.029307842254638672,0.0003409385681152344,0.04063276923147153,0.12399516492870541,0.00417648188326375,0.014806664840248127,0.0467484790242386,0.13216834135524685
3,7.635283049704495,2.5721286105539076,0.5988118648529053,0.029181957244873047,0.0002980232238769531,0.04329143057112865,0.3248630321726597,0.0032582438559937044,0.012355645034746943,0.05622091967663519,0.32364328149979305
4,1.3683249634879042,1.9007718757911343,0.6411728858947754,0.028342008590698242,0.0002570152282714844,0.02119056817687679,0.04327636395590032,0.0028057193707806205,0.026645689676717765,0.03573661615427957,0.05083231736163084
5,3.7709004399025545,2.8535299776972036,0.5988790988922119,0.028734922409057617,0.00025963783264160156,0.02514048696271769,0.16581932134824867,0.0023172378419679686,0.008257367882125593,0.03265128238164679,0.09807682562656407
6,6.474264688798579,2.64552322654166,0.626762866973877,0.028217077255249023,0.0002651214599609375,0.04533266416173881,0.25779932686923696,0.0023604500553145694,0.015107993247921052,0.059518181530631604,0.2574961450564525
7,4.489800568390578,1.4544774435695538,0.5974211692810059,0.027695894241333008,0.0002608299255371094,0.023172777057334556,0.04286737313913665,0.0037548752871462373,0.008894073220036786,0.04548628849233502,0.07807524852165328
8,5.590389391456765,1.1276345122083506,0.6432821750640869,0.027041196823120117,0.0002548694610595703,0.017631135838090884,0.1485954212493989,0.007455031322210111,0.013603225742528606,0.04333300037167744,0.22015302825336355
9,8.293548602726563,2.26332879824413,0.6508018970489502,0.027597665786743164,0.00030612945556640625,0.03947522148287246,0.3418943967340253,0.0027027680130866615,0.01906878099789153,0.05014245657986042,0.3394265095260148
10,7.605068626845201,1.7090519362597367,0.5940821170806885,0.04088711738586426,0.0003829002380371094,0.013241779599406684,0.19766450614621608,0.00359891795433316,0.012326208111506564,0.023203298682219223,0.24204907491941346
11,9.709910441509543,2.7862422426443954,0.8053779602050781,0.07757282257080078,0.00029015541076660156,0.02679321344056685,0.4302641889215785,0.0030577256861113095,0.02005797651811068,0.035322714746137594,0.3440972792574646
12,7.805996621030243,1.3892774157039351,0.6250979900360107,0.027196884155273438,0.0002751350402832031,0.024799323648297972,0.1767428711306048,0.004195452745783055,0.011863731924153126,0.050243602712820426,0.23217888256816221
13,4.720537936897639,1.0876075315744576,0.8497018814086914,0.026436805725097656,0.0002837181091308594,0.012829941457094944,0.09585374410624883,0.005733350094690809,0.015444901366654603,0.03154309337507042,0.20064214948629927
14,1.6274659714687236,2.3660979064849093,0.6409499645233154,0.029105186462402344,0.0002219676971435547,0.046110056649178464,0.11751093554051283,0.002142435084099185,0.006743862114676317,0.05640739490636448,0.10116976787493324
