idx,mu0,mu1,fom_time_s,pinn_time_s,pinn_rel_l2_u,pinn_rel_l2_p,pinn_rel_h1_u
0,7.762164880704037,1.8777568795041046,0.11192011833190918,0.02472209930419922,0.9435531157404922,1.0610863383262403,0.8336834170104902
1,8.600119407122687,2.3947360581187276,0.0863800048828125,0.026298999786376953,1.3532484474674145,1.017722238321951,1.127890587698293
2,1.0323557440877305,2.951244703273512,0.13267016410827637,0.02849102020263672,0.9888895905503974,1.0090699837912824,0.9835699311642983
3,7.635283049704495,2.5721286105539076,0.08434581756591797,0.026137113571166992,1.3842051837288212,0.9991513556743424,1.1344934648781968
4,1.3683249634879042,1.9007718757911343,0.0850071907043457,0.02781391143798828,0.9178282947273645,1.091484072493155,0.9273289345312451
5,3.7709004399025545,2.8535299776972036,0.16335797309875488,0.030189037322998047,1.116290416730687,0.9989792358625398,1.0051434725117507
6,6.474264688798579,2.64552322654166,0.08531403541564941,0.028414011001586914,1.316161056924527,0.994606901904583,1.088364426289532
7,4.489800568390578,1.4544774435695538,0.08813214302062988,0.0259091854095459,0.7453715706736562,0.6997202523324294,0.7512863433089608
8,5.590389391456765,1.1276345122083506,0.08526396751403809,0.02568507194519043,0.6064116828149413,0.6663053270232046,0.7363161249999797
9,8.293548602726563,2.26332879824413,0.08421683311462402,0.028529882431030273,1.1618083674474025,1.0832853394926207,0.9986043531447829
10,7.605068626845201,1.7090519362597367,0.08844518661499023,0.025256872177124023,1.0069589040413167,0.9159215306720537,0.843426984439976
11,9.709910441509543,2.7862422426443954,0.08889508247375488,0.02317190170288086,1.79448533960687,0.9948769543504158,1.3255776139188322
12,7.805996621030243,1.3892774157039351,0.09471988677978516,0.03024005889892578,0.5670016351026187,0.6420073498373191,0.6107479952898704
13,4.720537936897639,1.0876075315744576,0.07053899765014648,0.021199941635131836,0.6607839996740097,0.6626094369950666,0.7948557805399162
14,1.6274659714687236,2.3660979064849093,0.0887899398803711,0.026999235153198242,0.9280564145587615,1.0238622925200667,0.9394739026622769
15,7.47314534348739,2.93501946486842,0.08127593994140625,0.026443004608154297,1.5778889608157483,1.008309378601568,1.202041521104595
16,3.3256710455677045,1.7409194120697378,0.08974695205688477,0.030263900756835938,0.857438179093499,0.9503809931714237,0.8219935153725303
17,4.748602531630499,1.3789427181685714,0.08939814567565918,0.02884984016418457,0.6493642061301012,0.6361762719290565,0.6933610080804204
18,1.3862229028211692,1.9514098524518675,0.12300610542297363,0.03130316734313965,0.9218103899788086,1.2499786751196353,0.9290327415151057
19,2.3464025556037527,2.3396279893650207,0.08415818214416504,0.02717900276184082,0.912684199796828,1.0317262448014977,0.9186789686589318
20,4.427803996836074,2.665356392115675,0.0851430892944336,0.029383182525634766,1.127795884992537,0.9940358642846193,0.9942115269684422
21,7.032624509822266,1.6247332827640821,0.24398589134216309,0.025284290313720703,0.9436261131946094,0.8258720394097109,0.8269872132417077
22,8.339372033812491,2.609528714993604,0.08992791175842285,0.02633976936340332,1.4951096729409945,0.996536796276463,1.1931193259120358
23,3.9360359523987274,1.5766562078604882,0.08634090423583984,0.031038999557495117,0.8553977612472595,0.7915522614769908,0.814119814827015
24,6.856705489352257,1.2795049672186196,0.0887911319732666,0.02674579620361328,0.4589909161197104,0.6471813881882651,0.5589335615384959
25,2.0790912045035723,1.014724539502011,0.07291483879089355,0.02278614044189453,0.8015036713542248,0.6749799250154042,0.8701141412466405
26,7.89055133727117,2.3297017131840643,0.08788609504699707,0.02438497543334961,1.21830336840518,1.0353334030242587,1.0466200624361195
27,7.081137248400718,2.561458062043936,0.10250997543334961,0.022408008575439453,1.317479196710372,0.9999335601201687,1.0991003204333325
28,4.643266177829566,2.1374823919057873,0.08869409561157227,0.027802228927612305,0.8716903958882678,1.200090493793743,0.8385777117824873
29,1.4839902814638088,1.2290601470719469,0.21916890144348145,0.03071904182434082,0.8653244056085785,0.6651139401068504,0.8705148768895505
30,6.7171893217256695,1.942192412286265,0.07998180389404297,0.034219980239868164,0.8861758033629401,1.2078181453266834,0.8255663976526411
31,5.69583745416377,2.529997714832051,0.08414793014526367,0.024799108505249023,1.164056270178747,1.0023464664994368,1.023614903300856
32,6.383711368005849,2.1071588013159914,0.07128500938415527,0.026727914810180664,0.9002225658892611,1.2173783075069422,0.8325471079072868
33,5.636150891379594,1.6079001961252244,0.08653426170349121,0.023405075073242188,0.885103840451878,0.8123739193133938,0.8053184914884274
