n_train,mean_l2_u,mean_l2_p
20,2.459007137032874,0.9918164685664987
40,1.4217846277225397,0.728590778762849
80,0.31624033271457114,0.12921010916813003
120,0.1865046005235132,0.08585214534629583
1500,0.12985712408673397,0.04620424312976153
